"ITTER107","Territorio","TIPO_DATO15","Tipo dato","SEXISTAT1","Sesso","CAUSEMORTE_SL","Causa iniziale di morte - European Short List","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2017","2017",23928,,
"IT","Italia","DEATH","morti","1","maschi","2_1_14","di cui tumori maligni della prostata","2017","2017",7696,,
"IT","Italia","DEATH","morti","1","maschi","7","malattie del sistema circolatorio","2017","2017",100927,,
"IT","Italia","DEATH","morti","1","maschi","7_1_2","du cui altre malattie ischemiche del cuore","2017","2017",22333,,
"IT","Italia","DEATH","morti","1","maschi","7_4","altre malattie del sistema circolatorio","2017","2017",19047,,
"IT","Italia","DEATH","morti","1","maschi","8_2","polmonite","2017","2017",6424,,
"IT","Italia","DEATH","morti","1","maschi","17_1_2","di cui cadute accidentali","2017","2017",2168,,
"IT","Italia","DEATH","morti","1","maschi","17_1_5","di cui altri accidenti","2017","2017",5206,,
"IT","Italia","DEATH","morti","1","maschi","2_1_4","di cui tumori maligni del colon, del retto e dell'ano","2017","2017",10604,,
"IT","Italia","DEATH","morti","1","maschi","2_1_7","di cui tumori maligni della laringe","2017","2017",1428,,
"IT","Italia","DEATH","morti","1","maschi","2_1_10","di cui tumori maligni del seno","2017","2017",154,,
"IT","Italia","DEATH","morti","1","maschi","6","malattie del sistema nervoso e degli organi di senso","2017","2017",13259,,
"IT","Italia","DEATH","morti","1","maschi","7_1_1","di cui infarto miocardico acuto","2017","2017",12819,,
"IT","Italia","DEATH","morti","1","maschi","7_3","malattie cerebrovascolari","2017","2017",23713,,
"IT","Italia","DEATH","morti","1","maschi","16","sintomi, segni, risultati anomali e cause mal definite","2017","2017",5430,,
"IT","Italia","DEATH","morti","1","maschi","17_1_1","di cui accidenti di trasporto","2017","2017",2971,,
"IT","Italia","DEATH","morti","1","maschi","2_1_16","di cui tumori maligni della vescica","2017","2017",4863,,
"IT","Italia","DEATH","morti","1","maschi","2_1_19","di cui morbo di hodgkin e linfomi","2017","2017",2920,,
"IT","Italia","DEATH","morti","1","maschi","2_1_22","di cui altri tumori maligni","2017","2017",10641,,
"IT","Italia","DEATH","morti","1","maschi","8_1","influenza","2017","2017",260,,
"IT","Italia","DEATH","morti","1","maschi","8_3_1","di cui asma","2017","2017",147,,
"IT","Italia","DEATH","morti","1","maschi","9","malattie dell'apparato digerente","2017","2017",11473,,
"IT","Italia","DEATH","morti","1","maschi","9_3","altre malattie dell'apparato digerente","2017","2017",7551,,
"IT","Italia","DEATH","morti","1","maschi","17_1_4","di cui avvelenamento accidentale","2017","2017",323,,
