"ITTER107","Territorio","TIPO_DATO7","Indicatori trasporto aereo","ARRIVO_PARTENZA","Arrivo-Partenza                  ","AEROPORTI","Aeroporti ","SERVIZIO_AEREO_TIPO","Tipo di servizio aereo","ISO","Nazionalità vettore","ISO_OD","Origine / Destinazione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","ASI","Asia","2017","2017",747009,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","ASI","Asia","2018","2018",721780,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","ASI","Asia","2017","2017",46193,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","ASI","Asia","2018","2018",23362,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","ASI","Asia","2017","2017",793202,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","ASI","Asia","2018","2018",745142,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","EUR","Europa","2017","2017",4435176,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","EUR","Europa","2018","2018",4412354,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","EUR","Europa","2017","2017",171208,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","EUR","Europa","2018","2018",117389,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","EUR","Europa","2017","2017",4606384,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","EUR","Europa","2018","2018",4529743,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2017","2017",290128,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2018","2018",350952,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2017","2017",3886,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2018","2018",788,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2017","2017",294014,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2018","2018",351740,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","AU","Australia","2017","2017",0,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","AU","Australia","2018","2018",0,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","AU","Australia","2017","2017",0,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","AU","Australia","2018","2018",0,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","AU","Australia","2017","2017",0,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","AU","Australia","2018","2018",0,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","ASI","Asia","2017","2017",3893856,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","ASI","Asia","2018","2018",4192757,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","ASI","Asia","2017","2017",93414,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","ASI","Asia","2018","2018",75888,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","ASI","Asia","2017","2017",3987270,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","ASI","Asia","2018","2018",4268645,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","EUR","Europa","2017","2017",46553115,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","EUR","Europa","2018","2018",49342840,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","EUR","Europa","2017","2017",1392112,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","EUR","Europa","2018","2018",1530591,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","EUR","Europa","2017","2017",47945227,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","EUR","Europa","2018","2018",50873431,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","ASI_OTH","Altri Paesi dell'Asia","2017","2017",1375215,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","ASI_OTH","Altri Paesi dell'Asia","2018","2018",1505437,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","ASI_OTH","Altri Paesi dell'Asia","2017","2017",17200,,
