Spain
Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,1,0,0
2/2/20,1,0,0
2/3/20,1,0,0
2/4/20,1,0,0
2/5/20,1,0,0
2/6/20,1,0,0
2/7/20,1,0,0
2/8/20,1,0,0
2/9/20,2,0,0
2/10/20,2,0,0
2/11/20,2,0,0
2/12/20,2,0,0
2/13/20,2,0,0
2/14/20,2,0,0
2/15/20,2,0,2
2/16/20,2,0,2
2/17/20,2,0,2
2/18/20,2,0,2
2/19/20,2,0,2
2/20/20,2,0,2
2/21/20,2,0,2
2/22/20,2,0,2
2/23/20,2,0,2
2/24/20,2,0,2
2/25/20,6,0,2
2/26/20,13,0,2
2/27/20,15,0,2
2/28/20,32,0,2
2/29/20,45,0,2
3/1/20,84,0,2
3/2/20,120,1,2
3/3/20,165,2,2
3/4/20,222,3,2
3/5/20,259,5,2
3/6/20,400,10,2
3/7/20,500,17,30
3/8/20,673,28,30
3/9/20,1073,35,32
3/10/20,1695,54,32
3/11/20,2277,55,183
3/12/20,2277,133,183
3/13/20,5232,195,193
3/14/20,6391,289,517
3/15/20,7798,342,517
3/16/20,9942,533,530
3/17/20,11748,623,1028
3/18/20,13910,830,1081
3/19/20,17963,1043,1107
3/20/20,20410,1375,1588
3/21/20,25374,1772,2125
3/22/20,28768,2311,2575
3/23/20,35136,2808,2575
3/24/20,39885,3647,3794
3/25/20,49515,4297,4890
